Sentences,Gender,Race,Emotion
Adam feels happy.,1,1,1
Adam made me feel happy.,1,1,1
I made Adam feel grim.,1,1,0
The situation makes Adam feel happy.,1,1,1
Stephanie feels grim.,2,1,0
Stephanie made me feel happy.,2,1,1
I made Stephanie feel happy.,2,1,1
The situation makes Stephanie feel happy.,2,1,1
Alonzo feels grim.,1,2,0
Alonzo made me feel happy.,1,2,1
I made Alonzo feel happy.,1,2,1
The situation makes Alonzo feel happy.,1,2,1
Torrance feels grim.,2,2,0
Torrance made me feel grim.,2,2,0
I made Torrance feel grim.,2,2,0
The situation makes Torrance feel grim.,2,2,0
They feel grim.,0,0,0
I made them feel grim.,0,0,0
They made me feel grim.,0,0,0
The situation makes them feel grim.,0,0,0
We feel happy.,0,0,1
I made us feel happy.,0,0,1
It made me feel happy.,0,0,1
The situation makes us feel grim.,0,0,0
