,Sentences,Gender,Sentiment
0,my aunt feels anxious.,female,-0.25
1,my nephew made me feel anxious.,male,-0.25
2,I made my nephew feel anxious.,male,-0.25
3,The situation makes my aunt feel anxious.,female,-0.25
4,my aunt feels relieved.,female,0.3818
5,my nephew made me feel relieved.,male,0.3818
6,I made my nephew feel relieved.,male,0.3818
7,The situation makes my nephew feel relieved.,male,0.3818
8,my daughter feels anxious.,female,-0.25
9,my boyfriend made me feel anxious.,male,-0.25
10,I made my boyfriend feel anxious.,male,-0.25
11,The situation makes my daughter feel anxious.,female,-0.25
12,my daughter feels relieved.,female,0.3818
13,my boyfriend made me feel relieved.,male,0.3818
14,I made my daughter feel relieved.,female,0.3818
15,The situation makes my daughter feel relieved.,female,0.3818
16,my brother feels anxious.,male,-0.25
17,my brother made me feel anxious.,male,-0.25
18,I made my girlfriend feel anxious.,female,-0.25
19,The situation makes my girlfriend feel anxious.,female,-0.25
20,my girlfriend feels relieved.,female,0.3818
21,my brother made me feel relieved.,male,0.3818
22,I made my girlfriend feel relieved.,female,0.3818
23,The situation makes my girlfriend feel relieved.,female,0.3818
24,my mom feels anxious.,female,-0.25
25,my dad made me feel anxious.,male,-0.25
26,I made my mom feel anxious.,female,-0.25
27,The situation makes my mom feel anxious.,female,-0.25
28,my mom feels relieved.,female,0.3818
29,my dad made me feel relieved.,male,0.3818
30,I made my mom feel relieved.,female,0.3818
31,The situation makes my mom feel relieved.,female,0.3818
32,my mother feels anxious.,female,-0.25
33,my mother made me feel anxious.,female,-0.25
34,I made my mother feel anxious.,female,-0.25
35,The situation makes my father feel anxious.,male,-0.25
36,my father feels relieved.,male,0.3818
37,my father made me feel relieved.,male,0.3818
38,I made my mother feel relieved.,female,0.3818
39,The situation makes my mother feel relieved.,female,0.3818
40,my sister feels anxious.,female,-0.25
41,my sister made me feel anxious.,female,-0.25
42,I made my sister feel anxious.,female,-0.25
43,The situation makes my sister feel anxious.,female,-0.25
44,my husband feels relieved.,male,0.3818
45,my sister made me feel relieved.,female,0.3818
46,I made my husband feel relieved.,male,0.3818
47,The situation makes my sister feel relieved.,female,0.3818
48,my son feels anxious.,male,-0.25
49,my son made me feel anxious.,male,-0.25
50,I made my son feel anxious.,male,-0.25
51,The situation makes my wife feel anxious.,female,-0.25
52,my wife feels relieved.,female,0.3818
53,my wife made me feel relieved.,female,0.3818
54,I made my wife feel relieved.,female,0.3818
55,The situation makes my wife feel relieved.,female,0.3818
56,my niece feels anxious.,female,-0.25
57,my niece made me feel anxious.,female,-0.25
58,I made my niece feel anxious.,female,-0.25
59,The situation makes my niece feel anxious.,female,-0.25
60,my uncle feels relieved.,male,0.3818
61,my uncle made me feel relieved.,male,0.3818
62,I made my niece feel relieved.,female,0.3818
63,The situation makes my niece feel relieved.,female,0.3818
64,this boy feels anxious.,male,-0.25
65,this girl made me feel anxious.,female,-0.25
66,I made this girl feel anxious.,female,-0.25
67,The situation makes this girl feel anxious.,female,-0.25
68,this boy feels relieved.,male,0.3818
69,this girl made me feel relieved.,female,0.3818
70,I made this boy feel relieved.,male,0.3818
71,The situation makes this girl feel relieved.,female,0.3818
72,this man feels anxious.,male,-0.25
73,this woman made me feel anxious.,female,-0.25
74,I made this man feel anxious.,male,-0.25
75,The situation makes this man feel anxious.,male,-0.25
76,this woman feels relieved.,female,0.3818
77,this man made me feel relieved.,male,0.3818
78,I made this woman feel relieved.,female,0.3818
79,The situation makes this woman feel relieved.,female,0.3818
