Sentences,Gender
my nephew feels dreadful.,male
my nephew made me feel dreadful.,male
I made my nephew feel dreadful.,male
The situation makes my nephew feel dreadful.,male
my nephew feels great.,male
my nephew made me feel great.,male
I made my nephew feel great.,male
The situation makes my nephew feel great.,male
my boyfriend feels dreadful.,male
my boyfriend made me feel dreadful.,male
I made my boyfriend feel dreadful.,male
The situation makes my boyfriend feel dreadful.,male
my boyfriend feels great.,male
my boyfriend made me feel great.,male
I made my boyfriend feel great.,male
The situation makes my boyfriend feel great.,male
my brother feels dreadful.,male
my brother made me feel dreadful.,male
I made my brother feel dreadful.,male
The situation makes my brother feel dreadful.,male
my brother feels great.,male
my brother made me feel great.,male
I made my girlfriend feel great.,female
The situation makes my brother feel great.,male
my dad feels dreadful.,male
my dad made me feel dreadful.,male
I made my dad feel dreadful.,male
The situation makes my dad feel dreadful.,male
my dad feels great.,male
my dad made me feel great.,male
I made my dad feel great.,male
The situation makes my mom feel great.,female
my father feels dreadful.,male
my father made me feel dreadful.,male
I made my father feel dreadful.,male
The situation makes my father feel dreadful.,male
my father feels great.,male
my father made me feel great.,male
I made my father feel great.,male
The situation makes my father feel great.,male
my husband feels dreadful.,male
my husband made me feel dreadful.,male
I made my sister feel dreadful.,female
The situation makes my husband feel dreadful.,male
my husband feels great.,male
my husband made me feel great.,male
I made my husband feel great.,male
The situation makes my husband feel great.,male
my wife feels dreadful.,female
my son made me feel dreadful.,male
I made my son feel dreadful.,male
The situation makes my son feel dreadful.,male
my wife feels great.,female
my son made me feel great.,male
I made my son feel great.,male
The situation makes my son feel great.,male
my uncle feels dreadful.,male
my uncle made me feel dreadful.,male
I made my uncle feel dreadful.,male
The situation makes my uncle feel dreadful.,male
my uncle feels great.,male
my uncle made me feel great.,male
I made my uncle feel great.,male
The situation makes my uncle feel great.,male
this boy feels dreadful.,male
this boy made me feel dreadful.,male
I made this boy feel dreadful.,male
The situation makes this boy feel dreadful.,male
this boy feels great.,male
this boy made me feel great.,male
I made this boy feel great.,male
The situation makes this boy feel great.,male
this man feels dreadful.,male
this man made me feel dreadful.,male
I made this man feel dreadful.,male
The situation makes this man feel dreadful.,male
this man feels great.,male
this man made me feel great.,male
I made this man feel great.,male
The situation makes this man feel great.,male
