C_num,UB,User_gender,Text,Sentiment
1,0,0,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube.",0.74
1,0,0,Today we'll learn the different moves you need to know to solve the white cross.,0.17
1,0,0, Would you like to hear more about the white cross and how we will learn the moves?,-0.12
1,1,0,Level 1,0.28
1,0,0,Level: 1,-0.58
1,0,0,"In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too",-0.42
1,0,0,Turn the front face until the white-green edge piece completes the White Cross.,-0.38
1,0,0,Click solve whenever you are ready,-0.78
1,1,0,Solve,-0.35
1,0,0,Watch the cube to see the moves being performed.,0.34
1,0,0,Nice job!,-0.14
1,0,0,Choose another level or repeat this one:,0.98
1,1,0,Level 2,0.55
1,0,0,Level: 2,0.89
1,0,0,"In level two, we want the green sticker of the white-green edge to pair with the green centerpiece",-0.13
1,0,0,"Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match.",0.02
1,0,0,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",0.19
1,0,0,Click solve whenever you are ready,-0.68
1,1,0,solve,-0.68
1,0,0,Watch the cube to see the moves being performed.,-0.49
1,0,0,You're doing awesome!,0.96
1,0,0,Choose another level or repeat this one:,-0.55
1,1,0,Level 3,-0.58
1,0,0,Level: 3,0.1
1,0,0,"For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece",-0.8
1,0,0,The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face,-0.21
1,0,0,To pair the green stickers perform: l,-0.72
1,0,0,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",0.24
1,0,0,Click solve whenever you are ready,0.41
1,1,0,solve,-0.24
1,0,0,Watch the cube to see the moves being performed.,-0.75
1,0,0,Great job!,-0.6
1,0,0,Choose another level or repeat this one:,0.92
1,1,0,level 4,-0.69
1,0,0,Level: 4,0.77
1,0,0,"To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired",-0.33
1,0,0,"Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times",-0.86
1,0,0,To pair the green stickers perform the following moves: r	u	'	r	'	u,-0.25
1,0,0,Click solve whenever you are ready,0.15
1,1,0,solvw,-0.54
1,0,0,Watch the cube to see the moves being performed.,0.17
1,0,0,You'll be able to solve a Rubik's Cube in no time!,-0.34
1,0,0,Choose another level or repeat this one:,-0.99
1,1,0,level 5 ,0.99
1,0,0,Level: 5,0.24
1,0,0,"In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross",0.63
1,0,0,"Right now, the green sticker is on the down face and the white piece is on the front face",-0.93
1,0,0,The following moves will teach you how to get the edge piece into place: d	r	f	'	r	',-0.51
1,0,0,Click solve whenever you are ready,0.12
1,1,0,solve,0.83
1,0,0,Watch the cube to see the moves being performed.,0.95
1,0,0,You'll be able to solve a Rubik's Cube in no time!,-0.89
1,0,0,Choose another level or repeat this one:,0.94
1,1,0,Level 6,0.93
1,0,0,Level: 6,0.39
1,0,0,"In level 6, the green sticker of the white-green edge piece is on the up face and the white sticker is on the front face",0.48
1,0,0,"To move the edge piece into place, pair the stickers with their centerpieces, and solve the white cross, you would use the following moves: f	u	'	r	u",-0.44
1,0,0,Click solve whenever you are ready,-0.65
1,1,0,Solve,-0.58
1,0,0,Watch the cube to see the moves being performed.,-0.3
1,0,0,You'll be able to solve a Rubik's Cube in no time!,0.78
1,0,0,Choose another level or repeat this one:,-0.44
1,1,0,Level 7,-0.64
1,0,0,Level: 7,-0.7
1,0,0,"For level 7, the green sticker of the white-green edge is on the up face and the white sticker is on the back face",-0.85
1,0,0,We want to pair the green sticker with the green centerpiece so we will perform the following moves: b	u	l	u	',-0.54
1,0,0,Click solve whenever you are ready,-0.2
1,1,0,Solve,0.37
1,0,0,Watch the cube to see the moves being performed.,-0.77
1,0,0,Nice job!,-0.19
1,0,0,Choose another level or repeat this one:,-0.6
1,1,0,level 8,-0.57
1,0,0,Level: 8,0.05
1,0,0,"When we're finished with level 8, the white and green stickers of the white-green edge piece will be paired with their centerpieces",-0.33
1,0,0,"Right now, the green sticker is on the down face and the white sticker is on the back face",-0.96
1,0,0,"There are two different ways to handle this level, so feel free to go through it multiple times",0.21
1,0,0,"To put the edge piece in place for this cube configuration, we can use the following moves: d	r	f	'	r	'",0.49
1,0,0,Click solve whenever you are ready,-0.82
1,1,0,Solve,-0.68
1,0,0,Watch the cube to see the moves being performed.,-0.24
1,0,0,You're doing awesome!,-0.22
1,0,0,Choose another level or repeat this one:,-0.46
1,1,0,level 9,0.35
1,0,0,Level: 9,-0.5
1,0,0,"On our final level, we will pair the green sticker of the white-green edge with the green centerpiece",0.17
1,0,0,"Currently, the green sticker is on the back face and the white sticker is on the up face",0.25
1,0,0,We will put the edge in place by completing these moves: b	u	l	l	u	',-0.47
1,0,0,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",-0.41
1,0,0,Click solve whenever you are ready,-0.82
1,1,0,Solve,0.48
1,0,0,Watch the cube to see the moves being performed.,-0.78
1,0,0,You're learning so quickly!,-0.02
1,0,0,Choose another level or repeat this one:,0.06
2,0,1,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube.",-0.12
2,0,1,Today we'll learn the different moves you need to know to solve the white cross.,-0.3
2,0,1, Would you like to hear more about the white cross and how we will learn the moves?,0.7
2,1,1,Yes,0.17
2,0,1,Let's talk about the white cross!,-0.12
2,0,1," First, what does the white cross even look like? On the UP face, the white cross will have the white centerpiece with the white edge pieces forming the cross. It is also important that color stickers of the white edge pieces are paired with their matching color centerpieces.",0.65
2,0,1, We can see an example of the white cross below.,0.25
2,0,1,,0.85
2,0,1,"Today, I'll teach you the moves to solve the white cross by focusing on putting the white-green edge piece in its correct place. By learning these moves for the white-green edge piece, you can apply them to the other white edge pieces and solve the white cross.",0.32
2,1,1,Continue,0.88
2,0,1,We've broken the moves you need to know into different levels which will gradually increase in complexity.,-0.23
2,0,1," In each level, I'll guide you through finding the white-green edge piece and how you can move it to put it in place.",-0.5
2,0,1," To see the move performed on the virtual cube, just type in 'Solve'.",-0.22
2,0,1,Awesome! Go ahead and pick a level to start learning:,-0.11
2,1,1,Level 1,-0.05
2,1,1,Level `,-0.16
2,1,1,Level 1,0.79
2,0,1,Level: 1,0.51
2,0,1,"In level 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too",0.49
2,0,1,Turn the front face until the white-green edge piece completes the White Cross.,0.17
2,0,1,Click solve whenever you are ready,0.52
2,1,1,Solve,-0.79
2,0,1,Watch the cube to see the moves being performed.,-0.46
2,0,1,You'll be able to solve a Rubik's Cube in no time!,0.06
2,0,1,Choose another level or repeat this one:,0.78
2,1,1,level 2,0.46
2,0,1,Level: 2,0.45
2,0,1,"In level two, we want the green sticker of the white-green edge to pair with the green centerpiece",-0.46
2,0,1,"Since the white sticker of the edge piece is on the down face, rotate the down face until the green stickers match.",-0.96
2,0,1,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",0.79
2,0,1,Click solve whenever you are ready,-0.93
2,1,1,solve,-0.95
2,0,1,Watch the cube to see the moves being performed.,0.52
2,0,1,You're doing awesome!,0.4
2,0,1,Choose another level or repeat this one:,-0.56
2,1,1,level 3,0.2
2,0,1,Level: 3,0.16
2,0,1,"For level 3, we want the green sticker of the white-green edge to pair with the green centerpiece",0.45
2,0,1,The moves that I'll give you will be determined by whether the white sticker of the edge piece is on the left or right face,0.24
2,0,1,To pair the green stickers perform: l,0.91
2,0,1,"After you have performed these moves, you can use the skills you learned in level 1 to put the white-green edge piece in place.",0.89
2,0,1,Click solve whenever you are ready,0.49
2,1,1,solve,0.06
2,0,1,Watch the cube to see the moves being performed.,-0.53
2,0,1,You're doing awesome!,0.63
2,0,1,Choose another level or repeat this one:,-0.8
2,1,1,level 4,-0.11
2,0,1,Level: 4,-0.01
2,0,1,"To complete level 4 we need both the white and green stickers of the white-green edge piece to be paired with their centerpieces, but only the white stickers are currently paired",0.77
2,0,1,"Depending on your configuration, the moves to pair the green stickers depend on whether the white-green edge piece is on the left or right face so feel free to try this level multiple times",0.66
2,0,1,To pair the green stickers perform the following moves: l	'	u	l	u	',0.61
2,0,1,Click solve whenever you are ready,0.86
2,1,1,solve,0.03
2,0,1,Watch the cube to see the moves being performed.,-0.85
2,0,1,Nice job!,0.29
2,0,1,Choose another level or repeat this one:,0.71
2,1,1,level 5,0.51
2,0,1,Level: 5,0.69
2,0,1,"In level 5, our goal is to pair the white and green stickers of the white-green edge piece with their centerpieces and complete the White Cross",-0.45
2,0,1,"Right now, the green sticker is on the down face and the white piece is on the front face",0.23
2,0,1,The following moves will teach you how to get the edge piece into place: d	r	f	'	r	',-0.13
2,0,1,Click solve whenever you are ready,-0.96
2,1,1,Solve,0.39
2,0,1,Watch the cube to see the moves being performed.,0.15
